quality_ok,snapshot_at,observed_at,org,program_count,programs,city,state,status,http_status,error,missing_metrics,source_url,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras
True,2026-09-15T23:08:15Z,2026-09-15T23:09:26Z,claycountysheriff,1,Connect Clay County,Clay County,FL,ok,200,,,https://api.fususone.com/api/public/organizations/claycountysheriff/stats/,158,3433,3265,126,2000,3260
True,2026-09-15T23:08:15Z,2026-09-15T23:09:27Z,claytoncountypd,1,Connect Clayton County,Clayton County,GA,ok,200,,,https://api.fususone.com/api/public/organizations/claytoncountypd/stats/,398,10827,1025,294,8814,1010
True,2026-09-15T23:08:15Z,2026-09-15T23:09:28Z,clearwaterpd,1,Clearwater Camera Sharing,Clearwater,FL,ok,200,,,https://api.fususone.com/api/public/organizations/clearwaterpd/stats/,693,912,842,70,10000,792
True,2026-09-15T23:08:15Z,2026-09-15T23:09:29Z,clermontpd,1,Connect Clermont,Clermont,FL,ok,200,,,https://api.fususone.com/api/public/organizations/clermontpd/stats/,74,664,69,595,150,63
True,2026-09-15T23:08:15Z,2026-09-15T23:09:30Z,clevelanddps,1,Safe Smart CLE,Cleveland,OH,ok,200,,,https://api.fususone.com/api/public/organizations/clevelanddps/stats/,1763,4169,4050,0,2375,4053
True,2026-09-15T23:08:15Z,2026-09-15T23:09:31Z,clevelandmetroparksoh,1,Cleveland Metroparks Connect,Cleveland Metroparks,OH,ok,200,,,https://api.fususone.com/api/public/organizations/clevelandmetroparksoh/stats/,0,24,24,0,0,24
True,2026-09-15T23:08:15Z,2026-09-15T23:09:32Z,cobbcountypd,1,Connect Cobb ,Cobb County,GA,ok,200,,,https://api.fususone.com/api/public/organizations/cobbcountypd/stats/,3543,12810,1277,4093,9008,997
True,2026-09-15T23:08:15Z,2026-09-15T23:09:33Z,collegeparkga,1,Connect College Park,College Park,GA,ok,200,,,https://api.fususone.com/api/public/organizations/collegeparkga/stats/,0,10505,171,426,2539,143
True,2026-09-15T23:08:15Z,2026-09-15T23:09:34Z,coloradospringspd,1,Together COS,Colorado Springs,CO,ok,200,,,https://api.fususone.com/api/public/organizations/coloradospringspd/stats/,1313,1084,945,139,750,844
True,2026-09-15T23:08:15Z,2026-09-15T23:09:35Z,coltonpdca,1,Connect Colton,Colton,CA,ok,200,,,https://api.fususone.com/api/public/organizations/coltonpdca/stats/,345,28,19,9,0,19
True,2026-09-15T23:08:15Z,2026-09-15T23:09:36Z,columbuspdga,1,Connect Columbus,"Columbus, Georgia",GA,ok,200,,,https://api.fususone.com/api/public/organizations/columbuspdga/stats/,2439,566,566,0,1500,557
True,2026-09-15T23:08:15Z,2026-09-15T23:09:37Z,connectnewportrichey,1,Connect New Port Richey,New Port Richey,FL,ok,200,,,https://api.fususone.com/api/public/organizations/connectnewportrichey/stats/,6,8,8,0,0,8
True,2026-09-15T23:08:15Z,2026-09-15T23:09:38Z,connecttallahassee,1,Connect Tallahassee,Tallahassee,FL,ok,200,,,https://api.fususone.com/api/public/organizations/connecttallahassee/stats/,253,369,369,0,1500,349
True,2026-09-15T23:08:15Z,2026-09-15T23:09:39Z,covinapdca,1,SaferCovina,Covina,CA,ok,200,,,https://api.fususone.com/api/public/organizations/covinapdca/stats/,15,2,2,0,150,0
True,2026-09-15T23:08:15Z,2026-09-15T23:09:40Z,crestviewpdfl,1,Connect Crestview,Crestview,FL,ok,200,,,https://api.fususone.com/api/public/organizations/crestviewpdfl/stats/,0,52,52,0,0,20
True,2026-09-15T23:08:15Z,2026-09-15T23:09:41Z,crestwoodpdil,1,Connect Crestwood,Crestwood,MN,ok,200,,,https://api.fususone.com/api/public/organizations/crestwoodpdil/stats/,0,90,4,86,0,0
True,2026-09-15T23:08:15Z,2026-09-15T23:09:42Z,cummingpdga,1,Connect Cumming,Cumming,GA,ok,200,,,https://api.fususone.com/api/public/organizations/cummingpdga/stats/,5,3094,167,367,1500,149
True,2026-09-15T23:08:15Z,2026-09-15T23:09:43Z,dallaspd,1,Connect Dallas,Dallas,TX,ok,200,,,https://api.fususone.com/api/public/organizations/dallaspd/stats/,4054,1499,1140,358,1500,1040
True,2026-09-15T23:08:15Z,2026-09-15T23:09:44Z,dalycitypdca,1,Connect Daly City,Daly City,CA,ok,200,,,https://api.fususone.com/api/public/organizations/dalycitypdca/stats/,23,87,46,41,450,15
True,2026-09-15T23:08:15Z,2026-09-15T23:09:45Z,danvillepd,1,"One Community, Connect Danville",Danville,VA,ok,200,,,https://api.fususone.com/api/public/organizations/danvillepd/stats/,418,1755,342,1413,500,341
True,2026-09-15T23:08:15Z,2026-09-15T23:09:46Z,dbsfl,1,Connect Daytona Beach Shores,Daytona Beach Shores,FL,ok,200,,,https://api.fususone.com/api/public/organizations/dbsfl/stats/,3,72,72,0,0,70
True,2026-09-15T23:08:15Z,2026-09-15T23:09:47Z,dcmetro,1,CameraConnectDC,Washington DC,DC,ok,200,,,https://api.fususone.com/api/public/organizations/dcmetro/stats/,44118,1454,1259,119,4500,1127
True,2026-09-15T23:08:15Z,2026-09-15T23:09:48Z,dealpdnj,1,Connect Deal,Deal,NJ,ok,200,,,https://api.fususone.com/api/public/organizations/dealpdnj/stats/,322,976,224,0,0,224
True,2026-09-15T23:08:15Z,2026-09-15T23:09:49Z,dearbornpdmi,1,Connect Dearborn,Dearborn,MI,ok,200,,,https://api.fususone.com/api/public/organizations/dearbornpdmi/stats/,686,674,513,4,1500,499
True,2026-09-15T23:08:15Z,2026-09-15T23:09:50Z,dekalbcountyga,1,Connect DeKalb County,DeKalb County,GA,ok,200,,,https://api.fususone.com/api/public/organizations/dekalbcountyga/stats/,3513,9123,901,44,1500,751
True,2026-09-15T23:08:15Z,2026-09-15T23:09:51Z,delraybeach,1,Connect Delray Beach,Delray Beach,FL,ok,200,,,https://api.fususone.com/api/public/organizations/delraybeach/stats/,887,523,297,0,500,286
True,2026-09-15T23:08:15Z,2026-09-15T23:09:52Z,dentonpdtx,1,Denton Connects,Denton,TX,ok,200,,,https://api.fususone.com/api/public/organizations/dentonpdtx/stats/,2,186,186,0,0,183
True,2026-09-15T23:08:15Z,2026-09-15T23:09:53Z,dothanpd,1,Connect Dothan,Dothan,AL,ok,200,,,https://api.fususone.com/api/public/organizations/dothanpd/stats/,0,186,186,0,0,178
True,2026-09-15T23:08:15Z,2026-09-15T23:09:54Z,douglascountysonv,1,Safer Douglas County,Douglas County,NV,ok,200,,,https://api.fususone.com/api/public/organizations/douglascountysonv/stats/,0,50,50,0,100,50
True,2026-09-15T23:08:15Z,2026-09-15T23:09:55Z,douglasvillepolice,1,Connect Douglasville,Douglasville ,GA,ok,200,,,https://api.fususone.com/api/public/organizations/douglasvillepolice/stats/,260,12889,397,3354,10000,397
True,2026-09-15T23:08:15Z,2026-09-15T23:09:56Z,duncanvillepdtx,1,Connect Duncanville,Duncanville,TX,ok,200,,,https://api.fususone.com/api/public/organizations/duncanvillepdtx/stats/,15,128,120,8,0,116
True,2026-09-15T23:08:15Z,2026-09-15T23:09:57Z,eaganpdmn,1,Connect Eagan,Eagan,MN,ok,200,,,https://api.fususone.com/api/public/organizations/eaganpdmn/stats/,21,76,76,0,0,76
True,2026-09-15T23:08:15Z,2026-09-15T23:09:58Z,eastbatonrougesola,1,Connect East Baton Rouge,East Baton Rouge,LA,ok,200,,,https://api.fususone.com/api/public/organizations/eastbatonrougesola/stats/,28,66,27,39,500,27
True,2026-09-15T23:08:15Z,2026-09-15T23:09:59Z,eastpointpdga,1,Connect East Point,East Point,GA,ok,200,,,https://api.fususone.com/api/public/organizations/eastpointpdga/stats/,60,5112,382,469,500,374
True,2026-09-15T23:08:15Z,2026-09-15T23:10:00Z,elcajonpdca,1,Connect El Cajon,El Cajon,CA,ok,200,,,https://api.fususone.com/api/public/organizations/elcajonpdca/stats/,51,221,185,36,0,166
True,2026-09-15T23:08:15Z,2026-09-15T23:10:01Z,elizabethnj,1,Connect Elizabeth,Elizabeth,NJ,ok,200,,,https://api.fususone.com/api/public/organizations/elizabethnj/stats/,184,3442,625,2566,2690,594
True,2026-09-15T23:08:15Z,2026-09-15T23:10:02Z,elyriapdoh,1,Connect Elyria,Elyria,OH,ok,200,,,https://api.fususone.com/api/public/organizations/elyriapdoh/stats/,174,280,231,49,150,219
True,2026-09-15T23:08:15Z,2026-09-15T23:10:03Z,escambiafl,1,Star Network,Escambia County,FL,ok,200,,,https://api.fususone.com/api/public/organizations/escambiafl/stats/,1488,1265,917,109,1500,367
True,2026-09-15T23:08:15Z,2026-09-15T23:10:04Z,euclidpdoh,1,Connect Euclid,Euclid,OH,ok,200,,,https://api.fususone.com/api/public/organizations/euclidpdoh/stats/,288,209,209,0,0,209
True,2026-09-15T23:08:15Z,2026-09-15T23:10:05Z,eurekapdmo,1,Connect Eureka,Eureka,MO,ok,200,,,https://api.fususone.com/api/public/organizations/eurekapdmo/stats/,183,11,0,11,0,0
True,2026-09-15T23:08:15Z,2026-09-15T23:10:06Z,fairfaxcopd,1,Connect Fairfax County,Fairfax County,VA,ok,200,,,https://api.fususone.com/api/public/organizations/fairfaxcopd/stats/,3526,2188,724,1425,1500,623
