org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
alsipil,subscribedCameras,previous,979,979,0,0.0,0.0,Connect Alsip,Alsip,IL,2026-09-15T23:08:23Z,2026-09-15T23:17:34Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alsipil/stats/
altoonapd,totalRegisteredCameras,previous,345,345,0,0.0,0.0,Connect Altoona,Altoona,IA,2026-09-15T23:08:24Z,2026-09-15T23:17:35Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/altoonapd/stats/
altoonapd,totalIntegratedCameras,previous,605,605,0,0.0,0.0,Connect Altoona,Altoona,IA,2026-09-15T23:08:24Z,2026-09-15T23:17:35Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/altoonapd/stats/
altoonapd,totalOwnedCameras,previous,605,605,0,0.0,0.0,Connect Altoona,Altoona,IA,2026-09-15T23:08:24Z,2026-09-15T23:17:35Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/altoonapd/stats/
altoonapd,totalSharedCameras,previous,0,0,0,,0.0,Connect Altoona,Altoona,IA,2026-09-15T23:08:24Z,2026-09-15T23:17:35Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/altoonapd/stats/
altoonapd,totalMaxCameras,previous,925,925,0,0.0,0.0,Connect Altoona,Altoona,IA,2026-09-15T23:08:24Z,2026-09-15T23:17:35Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/altoonapd/stats/
altoonapd,subscribedCameras,previous,595,595,0,0.0,0.0,Connect Altoona,Altoona,IA,2026-09-15T23:08:24Z,2026-09-15T23:17:35Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/altoonapd/stats/
amarillopd,totalRegisteredCameras,previous,32,32,0,0.0,0.0,Connect Amarillo,Amarillo,TX,2026-09-15T23:08:25Z,2026-09-15T23:17:36Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/amarillopd/stats/
amarillopd,totalIntegratedCameras,previous,491,491,0,0.0,0.0,Connect Amarillo,Amarillo,TX,2026-09-15T23:08:25Z,2026-09-15T23:17:36Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/amarillopd/stats/
amarillopd,totalOwnedCameras,previous,491,491,0,0.0,0.0,Connect Amarillo,Amarillo,TX,2026-09-15T23:08:25Z,2026-09-15T23:17:36Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/amarillopd/stats/
